advertiser_name,account_tier,region,vertical,owning_rep,prior_3mo_usd,recent_3mo_usd,change_pct,revenue_at_risk_usd,risk_level
Cobalt Brands,Mid-Market,North America,Gaming,Viktor Grant,1423135.0,533530.0,-62.5,889606.0,Severe decline
Delta Interactive,Enterprise,Southeast Asia,Food & Beverage,Amara Duarte,1650131.0,953846.0,-42.2,696286.0,Material decline
Terra Retail,Enterprise,Southeast Asia,Gaming,Jason Quintero,922823.0,471213.0,-48.9,451610.0,Material decline
Delta Co,Enterprise,Southeast Asia,Gaming,Liam Zhang,940958.0,622917.0,-33.8,318041.0,Material decline
Onyx Collective,Mid-Market,Southeast Asia,Gaming,Olivia Whitfield,168296.0,64518.0,-61.7,103778.0,Severe decline
Onward Brands,Mid-Market,Australia & NZ,Food & Beverage,Jason Rossi,322607.0,234312.0,-27.4,88295.0,Material decline
Orchid Partners,Mid-Market,Europe,E-commerce & Retail,Grace Lindqvist,238869.0,151816.0,-36.4,87052.0,Material decline
Northwind Ventures,Mid-Market,Southeast Asia,Gaming,Amara Duarte,138545.0,60371.0,-56.4,78174.0,Severe decline
Solstice Collective,Mid-Market,Southeast Asia,Gaming,Gabriel Hoffman,186123.0,118121.0,-36.5,68002.0,Material decline
Orchid Holdings,SMB,Australia & NZ,E-commerce & Retail,Jason Rossi,139834.0,82393.0,-41.1,57441.0,Material decline
